"","nationality","response","year"
"62","Afghanistan","non-atheist",2012
"63","Afghanistan","non-atheist",2012
"64","Afghanistan","non-atheist",2012
"65","Afghanistan","non-atheist",2012
"66","Afghanistan","non-atheist",2012
"67","Afghanistan","non-atheist",2012
"68","Afghanistan","non-atheist",2012
"69","Afghanistan","non-atheist",2012
"70","Afghanistan","non-atheist",2012
"71","Afghanistan","non-atheist",2012
"72","Afghanistan","non-atheist",2012
"73","Afghanistan","non-atheist",2012
"74","Afghanistan","non-atheist",2012
"75","Afghanistan","non-atheist",2012
"76","Afghanistan","non-atheist",2012
"77","Afghanistan","non-atheist",2012
"78","Afghanistan","non-atheist",2012
"79","Afghanistan","non-atheist",2012
"80","Afghanistan","non-atheist",2012
"81","Afghanistan","non-atheist",2012
"82","Afghanistan","non-atheist",2012
"83","Afghanistan","non-atheist",2012
"84","Afghanistan","non-atheist",2012
"85","Afghanistan","non-atheist",2012
"86","Afghanistan","non-atheist",2012
"87","Afghanistan","non-atheist",2012
"88","Afghanistan","non-atheist",2012
"89","Afghanistan","non-atheist",2012
"90","Afghanistan","non-atheist",2012
"91","Afghanistan","non-atheist",2012
"92","Afghanistan","non-atheist",2012
"93","Afghanistan","non-atheist",2012
"94","Afghanistan","non-atheist",2012
"95","Afghanistan","non-atheist",2012
"96","Afghanistan","non-atheist",2012
"97","Afghanistan","non-atheist",2012
"98","Afghanistan","non-atheist",2012
"99","Afghanistan","non-atheist",2012
"100","Afghanistan","non-atheist",2012
"101","Afghanistan","non-atheist",2012
"102","Afghanistan","non-atheist",2012
"103","Afghanistan","non-atheist",2012
"104","Afghanistan","non-atheist",2012
"105","Afghanistan","non-atheist",2012
"106","Afghanistan","non-atheist",2012
"107","Afghanistan","non-atheist",2012
"108","Afghanistan","non-atheist",2012
"109","Afghanistan","non-atheist",2012
"110","Afghanistan","non-atheist",2012
"111","Afghanistan","non-atheist",2012
"112","Afghanistan","non-atheist",2012
"113","Afghanistan","non-atheist",2012
"114","Afghanistan","non-atheist",2012
"115","Afghanistan","non-atheist",2012
"116","Afghanistan","non-atheist",2012
"117","Afghanistan","non-atheist",2012
"118","Afghanistan","non-atheist",2012
"119","Afghanistan","non-atheist",2012
"120","Afghanistan","non-atheist",2012
"121","Afghanistan","non-atheist",2012
"122","Afghanistan","non-atheist",2012
"123","Afghanistan","non-atheist",2012
"124","Afghanistan","non-atheist",2012
"125","Afghanistan","non-atheist",2012
"126","Afghanistan","non-atheist",2012
"127","Afghanistan","non-atheist",2012
"128","Afghanistan","non-atheist",2012
"129","Afghanistan","non-atheist",2012
"130","Afghanistan","non-atheist",2012
"131","Afghanistan","non-atheist",2012
"132","Afghanistan","non-atheist",2012
"133","Afghanistan","non-atheist",2012
"134","Afghanistan","non-atheist",2012
"135","Afghanistan","non-atheist",2012
"136","Afghanistan","non-atheist",2012
"137","Afghanistan","non-atheist",2012
"138","Afghanistan","non-atheist",2012
"139","Afghanistan","non-atheist",2012
"140","Afghanistan","non-atheist",2012
"141","Afghanistan","non-atheist",2012
"142","Afghanistan","non-atheist",2012
"143","Afghanistan","non-atheist",2012
"144","Afghanistan","non-atheist",2012
"145","Afghanistan","non-atheist",2012
"146","Afghanistan","non-atheist",2012
"147","Afghanistan","non-atheist",2012
"148","Afghanistan","non-atheist",2012
"149","Afghanistan","non-atheist",2012
"150","Afghanistan","non-atheist",2012
"151","Afghanistan","non-atheist",2012
"152","Afghanistan","non-atheist",2012
"153","Afghanistan","non-atheist",2012
"154","Afghanistan","non-atheist",2012
"155","Afghanistan","non-atheist",2012
"156","Afghanistan","non-atheist",2012
"157","Afghanistan","non-atheist",2012
"158","Afghanistan","non-atheist",2012
"159","Afghanistan","non-atheist",2012
"160","Afghanistan","non-atheist",2012
"161","Afghanistan","non-atheist",2012
"162","Afghanistan","non-atheist",2012
"163","Afghanistan","non-atheist",2012
"164","Afghanistan","non-atheist",2012
"165","Afghanistan","non-atheist",2012
"166","Afghanistan","non-atheist",2012
"167","Afghanistan","non-atheist",2012
"168","Afghanistan","non-atheist",2012
"169","Afghanistan","non-atheist",2012
"170","Afghanistan","non-atheist",2012
"171","Afghanistan","non-atheist",2012
"172","Afghanistan","non-atheist",2012
"173","Afghanistan","non-atheist",2012
"174","Afghanistan","non-atheist",2012
"175","Afghanistan","non-atheist",2012
"176","Afghanistan","non-atheist",2012
"177","Afghanistan","non-atheist",2012
"178","Afghanistan","non-atheist",2012
"179","Afghanistan","non-atheist",2012
"180","Afghanistan","non-atheist",2012
"181","Afghanistan","non-atheist",2012
"182","Afghanistan","non-atheist",2012
"183","Afghanistan","non-atheist",2012
"184","Afghanistan","non-atheist",2012
"185","Afghanistan","non-atheist",2012
"186","Afghanistan","non-atheist",2012
"187","Afghanistan","non-atheist",2012
"188","Afghanistan","non-atheist",2012
"189","Afghanistan","non-atheist",2012
"190","Afghanistan","non-atheist",2012
"191","Afghanistan","non-atheist",2012
"192","Afghanistan","non-atheist",2012
"193","Afghanistan","non-atheist",2012
"194","Afghanistan","non-atheist",2012
"195","Afghanistan","non-atheist",2012
"196","Afghanistan","non-atheist",2012
"197","Afghanistan","non-atheist",2012
"198","Afghanistan","non-atheist",2012
"199","Afghanistan","non-atheist",2012
"200","Afghanistan","non-atheist",2012
"201","Afghanistan","non-atheist",2012
"202","Afghanistan","non-atheist",2012
"203","Afghanistan","non-atheist",2012
"204","Afghanistan","non-atheist",2012
"205","Afghanistan","non-atheist",2012
"206","Afghanistan","non-atheist",2012
"207","Afghanistan","non-atheist",2012
"208","Afghanistan","non-atheist",2012
"209","Afghanistan","non-atheist",2012
"210","Afghanistan","non-atheist",2012
"211","Afghanistan","non-atheist",2012
"212","Afghanistan","non-atheist",2012
"213","Afghanistan","non-atheist",2012
"214","Afghanistan","non-atheist",2012
"215","Afghanistan","non-atheist",2012
"216","Afghanistan","non-atheist",2012
"217","Afghanistan","non-atheist",2012
"218","Afghanistan","non-atheist",2012
"219","Afghanistan","non-atheist",2012
"220","Afghanistan","non-atheist",2012
"221","Afghanistan","non-atheist",2012
"222","Afghanistan","non-atheist",2012
"223","Afghanistan","non-atheist",2012
"224","Afghanistan","non-atheist",2012
"225","Afghanistan","non-atheist",2012
"226","Afghanistan","non-atheist",2012
"227","Afghanistan","non-atheist",2012
"228","Afghanistan","non-atheist",2012
"229","Afghanistan","non-atheist",2012
"230","Afghanistan","non-atheist",2012
"231","Afghanistan","non-atheist",2012
"232","Afghanistan","non-atheist",2012
"233","Afghanistan","non-atheist",2012
"234","Afghanistan","non-atheist",2012
"235","Afghanistan","non-atheist",2012
"236","Afghanistan","non-atheist",2012
"237","Afghanistan","non-atheist",2012
"238","Afghanistan","non-atheist",2012
"239","Afghanistan","non-atheist",2012
"240","Afghanistan","non-atheist",2012
"241","Afghanistan","non-atheist",2012
"242","Afghanistan","non-atheist",2012
"243","Afghanistan","non-atheist",2012
"244","Afghanistan","non-atheist",2012
"245","Afghanistan","non-atheist",2012
"246","Afghanistan","non-atheist",2012
"247","Afghanistan","non-atheist",2012
"248","Afghanistan","non-atheist",2012
"249","Afghanistan","non-atheist",2012
"250","Afghanistan","non-atheist",2012
"251","Afghanistan","non-atheist",2012
"252","Afghanistan","non-atheist",2012
"253","Afghanistan","non-atheist",2012
"254","Afghanistan","non-atheist",2012
"255","Afghanistan","non-atheist",2012
"256","Afghanistan","non-atheist",2012
"257","Afghanistan","non-atheist",2012
"258","Afghanistan","non-atheist",2012
"259","Afghanistan","non-atheist",2012
"260","Afghanistan","non-atheist",2012
"261","Afghanistan","non-atheist",2012
"262","Afghanistan","non-atheist",2012
"263","Afghanistan","non-atheist",2012
"264","Afghanistan","non-atheist",2012
"265","Afghanistan","non-atheist",2012
"266","Afghanistan","non-atheist",2012
"267","Afghanistan","non-atheist",2012
"268","Afghanistan","non-atheist",2012
"269","Afghanistan","non-atheist",2012
"270","Afghanistan","non-atheist",2012
"271","Afghanistan","non-atheist",2012
"272","Afghanistan","non-atheist",2012
"273","Afghanistan","non-atheist",2012
"274","Afghanistan","non-atheist",2012
"275","Afghanistan","non-atheist",2012
"276","Afghanistan","non-atheist",2012
"277","Afghanistan","non-atheist",2012
"278","Afghanistan","non-atheist",2012
"279","Afghanistan","non-atheist",2012
"280","Afghanistan","non-atheist",2012
"281","Afghanistan","non-atheist",2012
"282","Afghanistan","non-atheist",2012
"283","Afghanistan","non-atheist",2012
"284","Afghanistan","non-atheist",2012
"285","Afghanistan","non-atheist",2012
"286","Afghanistan","non-atheist",2012
"287","Afghanistan","non-atheist",2012
"288","Afghanistan","non-atheist",2012
"289","Afghanistan","non-atheist",2012
"290","Afghanistan","non-atheist",2012
"291","Afghanistan","non-atheist",2012
"292","Afghanistan","non-atheist",2012
"293","Afghanistan","non-atheist",2012
"294","Afghanistan","non-atheist",2012
"295","Afghanistan","non-atheist",2012
"296","Afghanistan","non-atheist",2012
"297","Afghanistan","non-atheist",2012
"298","Afghanistan","non-atheist",2012
"299","Afghanistan","non-atheist",2012
"300","Afghanistan","non-atheist",2012
"301","Afghanistan","non-atheist",2012
"302","Afghanistan","non-atheist",2012
"303","Afghanistan","non-atheist",2012
"304","Afghanistan","non-atheist",2012
"305","Afghanistan","non-atheist",2012
"306","Afghanistan","non-atheist",2012
"307","Afghanistan","non-atheist",2012
"308","Afghanistan","non-atheist",2012
"309","Afghanistan","non-atheist",2012
"310","Afghanistan","non-atheist",2012
"311","Afghanistan","non-atheist",2012
"312","Afghanistan","non-atheist",2012
"313","Afghanistan","non-atheist",2012
"314","Afghanistan","non-atheist",2012
"315","Afghanistan","non-atheist",2012
"316","Afghanistan","non-atheist",2012
"317","Afghanistan","non-atheist",2012
"318","Afghanistan","non-atheist",2012
"319","Afghanistan","non-atheist",2012
"320","Afghanistan","non-atheist",2012
"321","Afghanistan","non-atheist",2012
"322","Afghanistan","non-atheist",2012
"323","Afghanistan","non-atheist",2012
"324","Afghanistan","non-atheist",2012
"325","Afghanistan","non-atheist",2012
"326","Afghanistan","non-atheist",2012
"327","Afghanistan","non-atheist",2012
"328","Afghanistan","non-atheist",2012
"329","Afghanistan","non-atheist",2012
"330","Afghanistan","non-atheist",2012
"331","Afghanistan","non-atheist",2012
"332","Afghanistan","non-atheist",2012
"333","Afghanistan","non-atheist",2012
"334","Afghanistan","non-atheist",2012
"335","Afghanistan","non-atheist",2012
"336","Afghanistan","non-atheist",2012
"337","Afghanistan","non-atheist",2012
"338","Afghanistan","non-atheist",2012
"339","Afghanistan","non-atheist",2012
"340","Afghanistan","non-atheist",2012
"341","Afghanistan","non-atheist",2012
"342","Afghanistan","non-atheist",2012
"343","Afghanistan","non-atheist",2012
"344","Afghanistan","non-atheist",2012
"345","Afghanistan","non-atheist",2012
"346","Afghanistan","non-atheist",2012
"347","Afghanistan","non-atheist",2012
"348","Afghanistan","non-atheist",2012
"349","Afghanistan","non-atheist",2012
"350","Afghanistan","non-atheist",2012
"351","Afghanistan","non-atheist",2012
"352","Afghanistan","non-atheist",2012
"353","Afghanistan","non-atheist",2012
"354","Afghanistan","non-atheist",2012
"355","Afghanistan","non-atheist",2012
"356","Afghanistan","non-atheist",2012
"357","Afghanistan","non-atheist",2012
"358","Afghanistan","non-atheist",2012
"359","Afghanistan","non-atheist",2012
"360","Afghanistan","non-atheist",2012
"361","Afghanistan","non-atheist",2012
"362","Afghanistan","non-atheist",2012
"363","Afghanistan","non-atheist",2012
"364","Afghanistan","non-atheist",2012
"365","Afghanistan","non-atheist",2012
"366","Afghanistan","non-atheist",2012
"367","Afghanistan","non-atheist",2012
"368","Afghanistan","non-atheist",2012
"369","Afghanistan","non-atheist",2012
"370","Afghanistan","non-atheist",2012
"371","Afghanistan","non-atheist",2012
"372","Afghanistan","non-atheist",2012
"373","Afghanistan","non-atheist",2012
"374","Afghanistan","non-atheist",2012
"375","Afghanistan","non-atheist",2012
"376","Afghanistan","non-atheist",2012
"377","Afghanistan","non-atheist",2012
"378","Afghanistan","non-atheist",2012
"379","Afghanistan","non-atheist",2012
"380","Afghanistan","non-atheist",2012
"381","Afghanistan","non-atheist",2012
"382","Afghanistan","non-atheist",2012
"383","Afghanistan","non-atheist",2012
"384","Afghanistan","non-atheist",2012
"385","Afghanistan","non-atheist",2012
"386","Afghanistan","non-atheist",2012
"387","Afghanistan","non-atheist",2012
"388","Afghanistan","non-atheist",2012
"389","Afghanistan","non-atheist",2012
"390","Afghanistan","non-atheist",2012
"391","Afghanistan","non-atheist",2012
"392","Afghanistan","non-atheist",2012
"393","Afghanistan","non-atheist",2012
"394","Afghanistan","non-atheist",2012
"395","Afghanistan","non-atheist",2012
"396","Afghanistan","non-atheist",2012
"397","Afghanistan","non-atheist",2012
"398","Afghanistan","non-atheist",2012
"399","Afghanistan","non-atheist",2012
"400","Afghanistan","non-atheist",2012
"401","Afghanistan","non-atheist",2012
"402","Afghanistan","non-atheist",2012
"403","Afghanistan","non-atheist",2012
"404","Afghanistan","non-atheist",2012
"405","Afghanistan","non-atheist",2012
"406","Afghanistan","non-atheist",2012
"407","Afghanistan","non-atheist",2012
"408","Afghanistan","non-atheist",2012
"409","Afghanistan","non-atheist",2012
"410","Afghanistan","non-atheist",2012
"411","Afghanistan","non-atheist",2012
"412","Afghanistan","non-atheist",2012
"413","Afghanistan","non-atheist",2012
"414","Afghanistan","non-atheist",2012
"415","Afghanistan","non-atheist",2012
"416","Afghanistan","non-atheist",2012
"417","Afghanistan","non-atheist",2012
"418","Afghanistan","non-atheist",2012
"419","Afghanistan","non-atheist",2012
"420","Afghanistan","non-atheist",2012
"421","Afghanistan","non-atheist",2012
"422","Afghanistan","non-atheist",2012
"423","Afghanistan","non-atheist",2012
"424","Afghanistan","non-atheist",2012
"425","Afghanistan","non-atheist",2012
"426","Afghanistan","non-atheist",2012
"427","Afghanistan","non-atheist",2012
"428","Afghanistan","non-atheist",2012
"429","Afghanistan","non-atheist",2012
"430","Afghanistan","non-atheist",2012
"431","Afghanistan","non-atheist",2012
"432","Afghanistan","non-atheist",2012
"433","Afghanistan","non-atheist",2012
"434","Afghanistan","non-atheist",2012
"435","Afghanistan","non-atheist",2012
"436","Afghanistan","non-atheist",2012
"437","Afghanistan","non-atheist",2012
"438","Afghanistan","non-atheist",2012
"439","Afghanistan","non-atheist",2012
"440","Afghanistan","non-atheist",2012
"441","Afghanistan","non-atheist",2012
"442","Afghanistan","non-atheist",2012
"443","Afghanistan","non-atheist",2012
"444","Afghanistan","non-atheist",2012
"445","Afghanistan","non-atheist",2012
"446","Afghanistan","non-atheist",2012
"447","Afghanistan","non-atheist",2012
"448","Afghanistan","non-atheist",2012
"449","Afghanistan","non-atheist",2012
"450","Afghanistan","non-atheist",2012
"451","Afghanistan","non-atheist",2012
"452","Afghanistan","non-atheist",2012
"453","Afghanistan","non-atheist",2012
"454","Afghanistan","non-atheist",2012
"455","Afghanistan","non-atheist",2012
"456","Afghanistan","non-atheist",2012
"457","Afghanistan","non-atheist",2012
"458","Afghanistan","non-atheist",2012
"459","Afghanistan","non-atheist",2012
"460","Afghanistan","non-atheist",2012
"461","Afghanistan","non-atheist",2012
"462","Afghanistan","non-atheist",2012
"463","Afghanistan","non-atheist",2012
"464","Afghanistan","non-atheist",2012
"465","Afghanistan","non-atheist",2012
"466","Afghanistan","non-atheist",2012
"467","Afghanistan","non-atheist",2012
"468","Afghanistan","non-atheist",2012
"469","Afghanistan","non-atheist",2012
"470","Afghanistan","non-atheist",2012
"471","Afghanistan","non-atheist",2012
"472","Afghanistan","non-atheist",2012
"473","Afghanistan","non-atheist",2012
"474","Afghanistan","non-atheist",2012
"475","Afghanistan","non-atheist",2012
"476","Afghanistan","non-atheist",2012
"477","Afghanistan","non-atheist",2012
"478","Afghanistan","non-atheist",2012
"479","Afghanistan","non-atheist",2012
"480","Afghanistan","non-atheist",2012
"481","Afghanistan","non-atheist",2012
"482","Afghanistan","non-atheist",2012
"483","Afghanistan","non-atheist",2012
"484","Afghanistan","non-atheist",2012
"485","Afghanistan","non-atheist",2012
"486","Afghanistan","non-atheist",2012
"487","Afghanistan","non-atheist",2012
"488","Afghanistan","non-atheist",2012
"489","Afghanistan","non-atheist",2012
"490","Afghanistan","non-atheist",2012
"491","Afghanistan","non-atheist",2012
"492","Afghanistan","non-atheist",2012
"493","Afghanistan","non-atheist",2012
"494","Afghanistan","non-atheist",2012
"495","Afghanistan","non-atheist",2012
"496","Afghanistan","non-atheist",2012
"497","Afghanistan","non-atheist",2012
"498","Afghanistan","non-atheist",2012
"499","Afghanistan","non-atheist",2012
"500","Afghanistan","non-atheist",2012
"501","Afghanistan","non-atheist",2012
"502","Afghanistan","non-atheist",2012
"503","Afghanistan","non-atheist",2012
"504","Afghanistan","non-atheist",2012
"505","Afghanistan","non-atheist",2012
"506","Afghanistan","non-atheist",2012
"507","Afghanistan","non-atheist",2012
"508","Afghanistan","non-atheist",2012
"509","Afghanistan","non-atheist",2012
"510","Afghanistan","non-atheist",2012
"511","Afghanistan","non-atheist",2012
"512","Afghanistan","non-atheist",2012
"513","Afghanistan","non-atheist",2012
"514","Afghanistan","non-atheist",2012
"515","Afghanistan","non-atheist",2012
"516","Afghanistan","non-atheist",2012
"517","Afghanistan","non-atheist",2012
"518","Afghanistan","non-atheist",2012
"519","Afghanistan","non-atheist",2012
"520","Afghanistan","non-atheist",2012
"521","Afghanistan","non-atheist",2012
"522","Afghanistan","non-atheist",2012
"523","Afghanistan","non-atheist",2012
"524","Afghanistan","non-atheist",2012
"525","Afghanistan","non-atheist",2012
"526","Afghanistan","non-atheist",2012
"527","Afghanistan","non-atheist",2012
"528","Afghanistan","non-atheist",2012
"529","Afghanistan","non-atheist",2012
"530","Afghanistan","non-atheist",2012
"531","Afghanistan","non-atheist",2012
"532","Afghanistan","non-atheist",2012
"533","Afghanistan","non-atheist",2012
"534","Afghanistan","non-atheist",2012
"535","Afghanistan","non-atheist",2012
"536","Afghanistan","non-atheist",2012
"537","Afghanistan","non-atheist",2012
"538","Afghanistan","non-atheist",2012
"539","Afghanistan","non-atheist",2012
"540","Afghanistan","non-atheist",2012
"541","Afghanistan","non-atheist",2012
"542","Afghanistan","non-atheist",2012
"543","Afghanistan","non-atheist",2012
"544","Afghanistan","non-atheist",2012
"545","Afghanistan","non-atheist",2012
"546","Afghanistan","non-atheist",2012
"547","Afghanistan","non-atheist",2012
"548","Afghanistan","non-atheist",2012
"549","Afghanistan","non-atheist",2012
"550","Afghanistan","non-atheist",2012
"551","Afghanistan","non-atheist",2012
"552","Afghanistan","non-atheist",2012
"553","Afghanistan","non-atheist",2012
"554","Afghanistan","non-atheist",2012
"555","Afghanistan","non-atheist",2012
"556","Afghanistan","non-atheist",2012
"557","Afghanistan","non-atheist",2012
"558","Afghanistan","non-atheist",2012
"559","Afghanistan","non-atheist",2012
"560","Afghanistan","non-atheist",2012
"561","Afghanistan","non-atheist",2012
"562","Afghanistan","non-atheist",2012
"563","Afghanistan","non-atheist",2012
"564","Afghanistan","non-atheist",2012
"565","Afghanistan","non-atheist",2012
"566","Afghanistan","non-atheist",2012
"567","Afghanistan","non-atheist",2012
"568","Afghanistan","non-atheist",2012
"569","Afghanistan","non-atheist",2012
"570","Afghanistan","non-atheist",2012
"571","Afghanistan","non-atheist",2012
"572","Afghanistan","non-atheist",2012
"573","Afghanistan","non-atheist",2012
"574","Afghanistan","non-atheist",2012
"575","Afghanistan","non-atheist",2012
"576","Afghanistan","non-atheist",2012
"577","Afghanistan","non-atheist",2012
"578","Afghanistan","non-atheist",2012
"579","Afghanistan","non-atheist",2012
"580","Afghanistan","non-atheist",2012
"581","Afghanistan","non-atheist",2012
"582","Afghanistan","non-atheist",2012
"583","Afghanistan","non-atheist",2012
"584","Afghanistan","non-atheist",2012
"585","Afghanistan","non-atheist",2012
"586","Afghanistan","non-atheist",2012
"587","Afghanistan","non-atheist",2012
"588","Afghanistan","non-atheist",2012
"589","Afghanistan","non-atheist",2012
"590","Afghanistan","non-atheist",2012
"591","Afghanistan","non-atheist",2012
"592","Afghanistan","non-atheist",2012
"593","Afghanistan","non-atheist",2012
"594","Afghanistan","non-atheist",2012
"595","Afghanistan","non-atheist",2012
"596","Afghanistan","non-atheist",2012
"597","Afghanistan","non-atheist",2012
"598","Afghanistan","non-atheist",2012
"599","Afghanistan","non-atheist",2012
"600","Afghanistan","non-atheist",2012
"601","Afghanistan","non-atheist",2012
"602","Afghanistan","non-atheist",2012
"603","Afghanistan","non-atheist",2012
"604","Afghanistan","non-atheist",2012
"605","Afghanistan","non-atheist",2012
"606","Afghanistan","non-atheist",2012
"607","Afghanistan","non-atheist",2012
"608","Afghanistan","non-atheist",2012
"609","Afghanistan","non-atheist",2012
"610","Afghanistan","non-atheist",2012
"611","Afghanistan","non-atheist",2012
"612","Afghanistan","non-atheist",2012
"613","Afghanistan","non-atheist",2012
"614","Afghanistan","non-atheist",2012
"615","Afghanistan","non-atheist",2012
"616","Afghanistan","non-atheist",2012
"617","Afghanistan","non-atheist",2012
"618","Afghanistan","non-atheist",2012
"619","Afghanistan","non-atheist",2012
"620","Afghanistan","non-atheist",2012
"621","Afghanistan","non-atheist",2012
"622","Afghanistan","non-atheist",2012
"623","Afghanistan","non-atheist",2012
"624","Afghanistan","non-atheist",2012
"625","Afghanistan","non-atheist",2012
"626","Afghanistan","non-atheist",2012
"627","Afghanistan","non-atheist",2012
"628","Afghanistan","non-atheist",2012
"629","Afghanistan","non-atheist",2012
"630","Afghanistan","non-atheist",2012
"631","Afghanistan","non-atheist",2012
"632","Afghanistan","non-atheist",2012
"633","Afghanistan","non-atheist",2012
"634","Afghanistan","non-atheist",2012
"635","Afghanistan","non-atheist",2012
"636","Afghanistan","non-atheist",2012
"637","Afghanistan","non-atheist",2012
"638","Afghanistan","non-atheist",2012
"639","Afghanistan","non-atheist",2012
"640","Afghanistan","non-atheist",2012
"641","Afghanistan","non-atheist",2012
"642","Afghanistan","non-atheist",2012
"643","Afghanistan","non-atheist",2012
"644","Afghanistan","non-atheist",2012
"645","Afghanistan","non-atheist",2012
"646","Afghanistan","non-atheist",2012
"647","Afghanistan","non-atheist",2012
"648","Afghanistan","non-atheist",2012
"649","Afghanistan","non-atheist",2012
"650","Afghanistan","non-atheist",2012
"651","Afghanistan","non-atheist",2012
"652","Afghanistan","non-atheist",2012
"653","Afghanistan","non-atheist",2012
"654","Afghanistan","non-atheist",2012
"655","Afghanistan","non-atheist",2012
"656","Afghanistan","non-atheist",2012
"657","Afghanistan","non-atheist",2012
"658","Afghanistan","non-atheist",2012
"659","Afghanistan","non-atheist",2012
"660","Afghanistan","non-atheist",2012
"661","Afghanistan","non-atheist",2012
"662","Afghanistan","non-atheist",2012
"663","Afghanistan","non-atheist",2012
"664","Afghanistan","non-atheist",2012
"665","Afghanistan","non-atheist",2012
"666","Afghanistan","non-atheist",2012
"667","Afghanistan","non-atheist",2012
"668","Afghanistan","non-atheist",2012
"669","Afghanistan","non-atheist",2012
"670","Afghanistan","non-atheist",2012
"671","Afghanistan","non-atheist",2012
"672","Afghanistan","non-atheist",2012
"673","Afghanistan","non-atheist",2012
"674","Afghanistan","non-atheist",2012
"675","Afghanistan","non-atheist",2012
"676","Afghanistan","non-atheist",2012
"677","Afghanistan","non-atheist",2012
"678","Afghanistan","non-atheist",2012
"679","Afghanistan","non-atheist",2012
"680","Afghanistan","non-atheist",2012
"681","Afghanistan","non-atheist",2012
"682","Afghanistan","non-atheist",2012
"683","Afghanistan","non-atheist",2012
"684","Afghanistan","non-atheist",2012
"685","Afghanistan","non-atheist",2012
"686","Afghanistan","non-atheist",2012
"687","Afghanistan","non-atheist",2012
"688","Afghanistan","non-atheist",2012
"689","Afghanistan","non-atheist",2012
"690","Afghanistan","non-atheist",2012
"691","Afghanistan","non-atheist",2012
"692","Afghanistan","non-atheist",2012
"693","Afghanistan","non-atheist",2012
"694","Afghanistan","non-atheist",2012
"695","Afghanistan","non-atheist",2012
"696","Afghanistan","non-atheist",2012
"697","Afghanistan","non-atheist",2012
"698","Afghanistan","non-atheist",2012
"699","Afghanistan","non-atheist",2012
"700","Afghanistan","non-atheist",2012
"701","Afghanistan","non-atheist",2012
"702","Afghanistan","non-atheist",2012
"703","Afghanistan","non-atheist",2012
"704","Afghanistan","non-atheist",2012
"705","Afghanistan","non-atheist",2012
"706","Afghanistan","non-atheist",2012
"707","Afghanistan","non-atheist",2012
"708","Afghanistan","non-atheist",2012
"709","Afghanistan","non-atheist",2012
"710","Afghanistan","non-atheist",2012
"711","Afghanistan","non-atheist",2012
"712","Afghanistan","non-atheist",2012
"713","Afghanistan","non-atheist",2012
"714","Afghanistan","non-atheist",2012
"715","Afghanistan","non-atheist",2012
"716","Afghanistan","non-atheist",2012
"717","Afghanistan","non-atheist",2012
"718","Afghanistan","non-atheist",2012
"719","Afghanistan","non-atheist",2012
"720","Afghanistan","non-atheist",2012
"721","Afghanistan","non-atheist",2012
"722","Afghanistan","non-atheist",2012
"723","Afghanistan","non-atheist",2012
"724","Afghanistan","non-atheist",2012
"725","Afghanistan","non-atheist",2012
"726","Afghanistan","non-atheist",2012
"727","Afghanistan","non-atheist",2012
"728","Afghanistan","non-atheist",2012
"729","Afghanistan","non-atheist",2012
"730","Afghanistan","non-atheist",2012
"731","Afghanistan","non-atheist",2012
"732","Afghanistan","non-atheist",2012
"733","Afghanistan","non-atheist",2012
"734","Afghanistan","non-atheist",2012
"735","Afghanistan","non-atheist",2012
